,微博用户量数据,微博用户量数据,互联网,,
,,,,,
日期,地区,新浪微博注册用户(亿),新浪微博活跃用户(亿),腾讯微博注册用户(亿),腾讯微博活跃用户(亿)
2013.08,全球,,,,
2013.07,,,,,
2013.06,,,,,
2013.05,,,,,
2013.04,,,,,
2013.03,,,,,
2013.02,,5,0.462,,
2013.01,,,,5.4,1
2012.12,,,,,
2012.11,,,,,
2012.1,,,,,
2012.09,,4.24,0.423,,
2012.08,,,,,
2012.07,,,,,
2012.06,,,,,
2012.05,,3,,,
2012.04,,,,,
2012.03,,,,,
2012.02,,,,,
2012.01,,,,,
2011.12,,,,,
2011.11,,,,,
2011.1,,,,,
2011.09,,,,,
2011.08,,,,,
2011.07,,,,,
2011.06,,,,,
2011.05,,,,,
2011.04,,,,,
2011.03,,,,,
2011.02,,,,,
2011.01,,,,,
2010.12,,,,,
2010.11,,,,,
2010.1,,,,,
2010.09,,,,,
2010.08,,,,,
2010.07,,,,,
2010.06,,,,,
2010.05,,,,,
2010.04,,,,,
2010.03,,,,,
2010.02,,,,,
2010.01,,,,,
2009.12,,,,,
2009.11,,,,,
2009.1,,102.1,,,
2009.09,,,,,
2009.08,,,,,
2009.07,,,,,
2009.06,,,,,
2009.05,,,,,
2009.04,,,,,
2009.03,,,,,
2009.02,,,,,
2009.01,,,,,
